Year,Hour,MRT_Accumulated_Crowd,Net_Collapse_Rate,Data_Deficit_Rate,Latency_Spike_Rate,Loss_Prevalence_Rate
2023,18,14052,0.05263157894736842,-1.9514563106796117,0.0,0.3157894736842105
2023,19,31700,0.1875,-1.3272727272727274,0.25,0.4375
2023,20,54746,0.3684210526315789,-1.3937007874015748,0.05263157894736842,0.2631578947368421
2023,21,86515,0.045454545454545456,-1.75,0.0,0.4090909090909091
2023,22,128319,0.1875,-0.6305732484076433,0.0,0.125
2023,23,160928,0.5333333333333333,-1.3300970873786409,0.4666666666666667,0.06666666666666667
2023,0,160581,0.125,-0.855072463768116,0.0,0.0
2023,1,160569,0.6363636363636364,-2.450980392156863,0.6363636363636364,0.18181818181818182
2023,2,124857,0.0,-3.0,0.0,0.0
2024,18,7101,0.12,-1.9411764705882353,0.2,0.08
2024,19,24305,0.08,-1.3121387283236994,0.08,0.16
2024,20,53014,0.3333333333333333,-0.6271186440677966,0.2222222222222222,0.16666666666666666
2024,21,87128,0.3333333333333333,-0.15463917525773196,0.23809523809523808,0.14285714285714285
2024,22,133915,0.38095238095238093,-2.343283582089552,0.2619047619047619,0.21428571428571427
2024,23,172363,0.36363636363636365,-2.3630573248407645,0.42424242424242425,0.15151515151515152
2024,0,171972,0.4444444444444444,-1.0425531914893618,0.2222222222222222,0.0
2024,1,171961,0.30434782608695654,-3.0,0.13043478260869565,0.17391304347826086
2024,2,138934,0.14285714285714285,-1.5454545454545454,0.2857142857142857,0.2857142857142857
2025,18,9791,0.043478260869565216,-0.8308457711442786,0.08695652173913043,0.043478260869565216
2025,19,20128,0.5483870967741935,-1.5435897435897437,0.22580645161290322,0.25806451612903225
2025,20,32498,0.05,-1.1548821548821548,0.1,0.2
2025,21,51597,0.08333333333333333,-0.6916299559471366,0.125,0.125
2025,22,77140,0.3,-0.4349775784753363,0.3,0.25
2025,23,94973,0.4,-1.380952380952381,0.36,0.0
2025,0,93771,0.21052631578947367,-4.28695652173913,0.34210526315789475,0.21052631578947367
2025,1,93735,0.5,-3.923076923076923,0.125,0.125
2025,2,72255,0.0,-2.911111111111111,0.18181818181818182,0.36363636363636365
